Consensus Name,KAP4 Locus,KAP4 Description,A,C,D,E,F,H,I,M,CON21 Gene #,A,B,C,D,E,F,G,H,I,Fly Gene #,Fly Gene,Fly Description,TF family
Dpul_Gene_1,LOC124188264,fibroblast growth factor receptor 4-like isoform X4,1312,8736,12571,5606,10780,2494,2478,1116,g2190,390,1394,1072,581,558,571,5129,3360,2531,FBgn0285896,btl,breathless,
Dpul_Gene_2,LOC124188265,39S ribosomal protein L43%2C mitochondrial-like,428,1538,3493,1621,1914,346,414,292,g1152,843,1140,1097,790,650,847,250,362,171,FBgn0034893,mRpL43,mitochondrial ribosomal protein L43,
Dpul_Gene_3,LOC124188268,uncharacterized protein LOC124188268,0,5,146,22921,46512,5917,11032,2647,g2194,0,0,0,110,4972,26760,201,4253,6468,FBgn0038451,CG14893,0,
Dpul_Gene_4,LOC124188269,uncharacterized protein LOC124188269,0,0,23,15797,33790,4762,7637,1608,g2195,0,1,0,27,3347,17049,174,3117,4732,FBgn0051105,ppk22,pickpocket 22,
Dpul_Gene_5,LOC124188270,Fanconi anemia group I protein-like,1436,3731,3377,1138,1594,704,829,1211,g2196,692,945,774,133,59,138,235,534,712,FBgn0033354,FANCI,Fanconi anemia complementation group I,
Dpul_Gene_6,LOC124188271,ubiquitin carboxyl-terminal hydrolase 36-like,6203,10010,13164,3782,5911,2800,4323,4130,g2204,5909,4384,3648,2454,2214,1686,4179,3975,2179,FBgn0260936,scny,scrawny,
Dpul_Gene_7,LOC124188272,protein phosphatase 1G-like,3711,12925,13923,2598,2638,1945,2501,1875,g2200,3444,4509,3498,941,423,207,1016,1504,800,FBgn0033021,CG10417,0,
Dpul_Gene_8,LOC124188274,HIV Tat-specific factor 1 homolog,1441,5979,9553,2325,2791,978,1217,1078,g2198,1836,2869,2431,1115,806,527,644,732,502,FBgn0037081,barc,barricade,
Dpul_Gene_9,LOC124188275,probable methyltransferase-like protein 25,253,725,1563,422,498,264,324,236,g2197,445,899,734,347,252,159,543,530,258,FBgn0053964,CG33964,0,
Dpul_Gene_10,LOC124188276,clusterin-associated protein 1-like isoform X2,17,31,234,93,139,39,54,26,g2203,19,50,43,56,47,45,57,34,19,,,,
Dpul_Gene_11,LOC124188277,F-box only protein 31-like,142,410,989,445,654,229,201,180,g2202,328,275,268,166,150,136,182,171,123,FBgn0261836,Msp300,Muscle-specific protein 300 kDa,
Dpul_Gene_12,LOC124188278,neuroguidin-like,825,1563,2741,612,745,335,590,702,g2201,1554,1123,894,342,163,97,304,438,231,FBgn0031736,CG11030,0,
Dpul_Gene_13,LOC124188281,C-type lectin domain family 10 member A-like,0,0,214,707,873,197,92,84,g2199,2,2,1,43,105,517,99,76,80,FBgn0261258,rgn,regeneration,
Dpul_Gene_14,LOC124188283,protein Daple-like,891,6962,13126,5086,7236,3012,3501,1564,g2569,226,1028,983,804,733,581,5695,3937,2315,FBgn0283724,Girdin,Girdin,
Dpul_Gene_15,LOC124188284,nuclear exosome regulator NRDE2-like isoform X1,910,2197,4602,1321,1434,773,638,787,g2573,682,730,604,318,301,169,531,569,460,FBgn0030625,CG5877,0,
Dpul_Gene_16,LOC124188285,D-glucuronyl C5-epimerase B-like,541,2544,5889,2282,3039,1319,1037,504,g2572,320,977,868,577,742,500,929,673,430,FBgn0033087,Hsepi,Heparan sulfate C5-epimerase,
Dpul_Gene_17,LOC124188286,uncharacterized protein LOC124188286 isoform X2,259,18,5,2,3,1,1,1,g2575,137,160,4,1,2,1,2,1,3,FBgn0261803,CG42749,0,
Dpul_Gene_18,LOC124188287,tachykinin-like peptides receptor 86C,1,0,34,139,462,157,175,9,g561,0,0,0,8,50,57,377,269,145,FBgn0004841,TkR86C,Tachykinin-like receptor at 86C,
Dpul_Gene_19,LOC124188288,putative lipoyltransferase 2%2C mitochondrial,28,182,814,326,409,99,75,53,g2574,113,197,178,142,123,177,111,87,59,FBgn0037251,CG9804,0,
