CON21 Name,A,B,C,D,E,F,G,H,I,Fly Name (ZQ),Fly Description (ZQ),KAP4 Protein,KAP4 Locus,KAP4 Descritpion,C. elegans,Human,Honeybee,Mouse,Zebrafish,Silkworm,Mosquito,Cluster
g24432,75,636,591,185,46,29,3051,75398,190829,,,XP_046461615.1,LOC124207989,vitellogenin-2-like,K07H8.6c.1,,XP_006561178.1,,,,,2
g6653,511,2987,2901,4220,5755,7478,88327,74643,61695,shot,short stop,XP_046442947.1,LOC124193257,microtubule-actin cross-linking factor 1-like isoform X2,ZK1151.1m.1,ENSP00000455274.1,XP_026296107.1,ENSMUSP00000138308.2,ENSDARP00000134659.1,XP_037873897.1,XP_021709235.1,14
g9889,3,107,229,767,473,2273,80173,70142,61976,dpy,dumpy,,,,,,,,ENSDARP00000155759.1,,,14
g6652,73,230,238,448,551,880,54245,40513,34418,shot,short stop,,,,ZK1151.1f.1,ENSP00000433982.2,,ENSMUSP00000073124.7,ENSDARP00000155551.1,,,1
g3259,17,1464,1190,904,366,1927,45432,35847,35443,Apoltp,Apolipoprotein lipid transfer particle,XP_046461762.1,LOC124208089,uncharacterized protein LOC124208089,,ENSP00000512464.1,,ENSMUSP00000036044.7,ENSDARP00000062792.3,,,14
g23568,32,391,483,1958,3020,4469,20320,44114,40204,CG34417,0,,,,,,XP_006568451.2,,ENSDARP00000127798.1,XP_037868405.1,XP_021698731.1,14
g9746,21,500,568,862,820,1961,34555,42311,27351,futsch,futsch,XP_046444389.1,LOC124194305,microtubule-associated protein 1B-like isoform X1,C36A4.5.1,ENSP00000296755.7,XP_026297481.1,ENSMUSP00000092223.4,ENSDARP00000147605.1,XP_037874564.1,XP_021710788.1,4
g1233,51,332,349,157,56,128,22774,35372,37174,apolpp,apolipophorin,XP_046447996.1,LOC124196801,apolipophorins-like,C42D8.2.1,,XP_026298285.1,,,XP_004926643.2,XP_021707150.1,14
g14015,1,278,275,296,128,1410,6005,15573,34984,glob1,globin 1,XP_046449518.1,LOC124197969,uncharacterized protein LOC124197969 isoform X1,F19H6.2.1,ENSP00000293230.4,,,ENSDARP00000148052.1,,,1
g14012,0,57,51,90,344,4834,11779,29374,33005,,,XP_046449523.1,LOC124197972,uncharacterized protein LOC124197972,F19H6.2.1,,,,,,,14
g5658,249,883,1036,2476,4501,5624,32027,23479,13550,,,,,,,,XP_026295816.1,,,XP_037876708.1,XP_021709682.1,1
g14014,6,1800,1977,1737,921,4316,6977,15829,30340,,,XP_046449520.1,LOC124197969,uncharacterized protein LOC124197969 isoform X3,,,,,,,,2
g14013,1,154,189,186,259,3700,9044,17135,28459,,,XP_046449525.1,LOC124197974,uncharacterized protein LOC124197974,,,,ENSMUSP00000021166.6,ENSDARP00000148052.1,,,2
g9472,177,1193,1160,1539,2044,2170,25669,19679,17882,kst,karst,XP_046444015.1,LOC124194043,spectrin beta chain%2C non-erythrocytic 1-like isoform X5,R31.1a.1,ENSP00000317790.6,XP_006558862.1,ENSMUSP00000158705.2,ENSDARP00000137381.2,XP_037875801.1,XP_021706606.1,1
g17270,13,71,59,60,46,23,123,1666,24891,,,XP_046452225.1,LOC124200142,hemolymph clottable protein-like,,,,,,,XP_001660818.2,2
g13879,1252,3655,3222,2922,2762,1742,14332,24236,15193,Dhc64C,Dynein heavy chain 64C,XP_046449739.1,LOC124198111,dynein heavy chain%2C cytoplasmic-like isoform X1,T21E12.4a.1,ENSP00000348965.4,XP_026295154.1,ENSMUSP00000018851.8,ENSDARP00000138059.1,XP_037874259.1,XP_001658153.1,14
g932,38,375,406,765,540,3411,23942,21599,22181,Col4a1,Collagen type IV alpha 1,XP_046454292.1,LOC124202036,collagen alpha-2(IV) chain-like,F01G12.5a.1,ENSP00000361290.4,XP_392097.5,ENSMUSP00000033899.8,ENSDARP00000135982.2,XP_037877659.1,XP_021701996.1,14
g5734,322,1306,1284,1081,808,785,23121,18493,16691,kug,kugelei,XP_046440600.1,LOC124191440,fat-like cadherin-related tumor suppressor homolog isoform X2,F25F2.2.1,ENSP00000406229.2,XP_026296982.1,ENSMUSP00000140765.3,ENSDARP00000112805.1,XP_037870954.1,XP_021704619.1,4
g23851,18,3,6,432,578,1483,21646,15911,12699,chas,chascon,XP_046460622.1,LOC124207286,mucin-5AC-like,,,NP_001265610.1,,,XP_012550973.1,XP_021694484.1,4
g16770,67,357,339,249,237,175,19436,14022,10990,,,,,,,,,,,,,1
g8568,25,96,84,38,17,614,4887,9289,17740,,,XP_046445253.1,LOC124194904,uncharacterized protein LOC124194904,,,,ENSMUSP00000151456.2,ENSDARP00000132851.1,,XP_021698325.1,2
g1916,2153,5861,4927,6000,4977,5632,16943,13939,10366,Odc1,Ornithine decarboxylase 1,XP_046437066.1,LOC124188466,ornithine decarboxylase-like,K11C4.4.1,ENSP00000390691.2,XP_393529.3,ENSMUSP00000128661.2,ENSDARP00000154168.1,XP_012546748.1,XP_021708670.1,4
g16620,47,5,1,2,96,110,3738,16664,12544,,,,,,,,NP_001257755.1,,,,,2
g6146,376,1529,1655,1604,2162,2469,9678,15495,11138,Mhcl,Myosin heavy chain-like,,,,,,XP_026296134.1,,,,XP_021708633.1,14
g26967,415,2676,1112,41,22,30,2171,15443,12439,Cht10,Chitinase 10,XP_046463726.1,LOC124209672,probable chitinase 10,C04F6.3.1,ENSP00000423778.1,XP_026299806.1,,,NP_001036861.1,XP_021702616.1,1
g9143,24,8,5,216,477,804,15029,12445,8501,form3,formin 3,XP_046444189.1,LOC124194172,FH2 domain-containing protein 1-like isoform X1,F56E10.2a.2,ENSP00000252527.8,XP_026296389.1,ENSMUSP00000152851.2,ENSDARP00000098167.2,XP_037867872.1,XP_021704345.1,1
g4021,1163,362,243,249,259,432,14889,11244,8130,Wnk,Wnk kinase,XP_046439654.1,LOC124190832,serine/threonine-protein kinase WNK2-like isoform X1,C46C2.1e.1,ENSP00000412465.1,XP_016772110.2,ENSMUSP00000139255.2,ENSDARP00000140938.2,XP_037876951.1,XP_021706500.1,1
g9654,8270,956,1121,4601,8232,11809,5808,14369,10762,Eno,Enolase,XP_046443224.1,LOC124193453,enolase-like,T21B10.2c.1,ENSP00000234590.4,XP_026300411.1,ENSMUSP00000079727.7,ENSDARP00000144676.1,XP_021207529.1,XP_021701188.1,1
g16268,51,926,1060,3137,5287,4483,14061,12824,11140,,,,,,B0350.2h.1,,,,,XP_037876711.1,,4
g933,87,607,611,1013,724,3425,14048,13445,12575,vkg,viking,XP_046454394.1,LOC124202122,collagen alpha-1(IV) chain-like,K04H4.1a.1,ENSP00000334733.7,XP_006563187.2,ENSMUSP00000033898.10,ENSDARP00000135982.2,XP_037866540.1,XP_021701997.1,14
g6148,30,99,102,146,164,605,7495,13783,8470,,,XP_046442459.1,LOC124192925,unconventional myosin-XVIIIa-like isoform X2,,ENSP00000434228.1,XP_026296126.1,ENSMUSP00000000645.7,ENSDARP00000144961.1,XP_037872533.1,,2
g20884,66,399,414,459,737,2539,11996,13733,7780,,,,,,,,,,,,,1
g10850,1,196,168,5650,10755,7450,1974,6581,13595,,,XP_046446568.1,LOC124195928,collagen alpha-1(X) chain-like,,,,,,,,2
