,,,A,C,D,E,F,H,I,M,Cluster,CON21,C. elegans,Fly/CON21,Fly,,Fly Gene Name,Fly Gene Description,DBD Family,Mosquito,Human,Mouse,Honeybee,Zebrafish,Silkworm
ATP6,#N/A,,41989,78166,189169,99749,219902,61039,50886,73749,,,,,,,,,,,,,,,
ATP8,#N/A,,4927,9811,32570,16257,37830,8172,7563,11393,,,,,,,,,,,,,,,
COX1,#N/A,,135505,272881,672956,340336,666790,251159,211165,281637,,,,,,,,,,,,,,,
COX2,#N/A,,36729,76252,203967,97520,185178,55011,45969,71273,,,,,,,,,,,,,,,
COX3,#N/A,,32346,71745,214008,116730,240348,61889,56116,78892,,,,,,,,,,,,,,,
CYTB,#N/A,,45787,95766,351184,209215,476441,137777,112583,135652,,,,,,,,,,,,,,,
LOC124188264,XP_046436745.1,fibroblast growth factor receptor 4-like isoform X4,1312,8736,12571,5606,10780,2494,2478,1116,,g2190,,FBgn0285896,,,btl,breathless,,,,ENSMUSP00000130856.3,,ENSDARP00000111401.3,XP_012553037.2
LOC124188265,XP_046436746.1,39S ribosomal protein L43%2C mitochondrial-like,428,1538,3493,1621,1914,346,414,292,,g1152,C25A1.13.1,FBgn0034893,FBpp0071993,FBgn0034893,mRpL43,mitochondrial ribosomal protein L43,,XP_021713094.1,ENSP00000315948.8,ENSMUSP00000095322.3,XP_026301228.1,ENSDARP00000102301.2,XP_004925128.1
LOC124188268,XP_046436747.1,uncharacterized protein LOC124188268,0,5,146,22921,46512,5917,11032,2647,,g2194,F10A3.8.1,FBgn0038451,,,CG14893,0,,,,,,,
LOC124188269,XP_046436748.1,uncharacterized protein LOC124188269,0,0,23,15797,33790,4762,7637,1608,,g2195,,FBgn0051105,,,ppk22,pickpocket 22,,,,,,,
LOC124188270,XP_046436749.1,Fanconi anemia group I protein-like,1436,3731,3377,1138,1594,704,829,1211,,g2196,W02D3.10.1,FBgn0033354,FBpp0087756,FBgn0033354,FANCI,Fanconi anemia complementation group I,,XP_021701733.1,ENSP00000512832.1,ENSMUSP00000044931.7,XP_016772168.2,ENSDARP00000116242.1,XP_012545487.1
LOC124188271,XP_046436751.1,ubiquitin carboxyl-terminal hydrolase 36-like,6203,10010,13164,3782,5911,2800,4323,4130,,g2204,,FBgn0260936,FBpp0300344,FBgn0260936,scny,scrawny,,XP_021695615.1,ENSP00000468549.3,ENSMUSP00000090036.4,XP_016767761.1,ENSDARP00000111119.2,XP_004931523.2
LOC124188272,XP_046436752.1,protein phosphatase 1G-like,3711,12925,13923,2598,2638,1945,2501,1875,,g2200,F42G9.1b.1,FBgn0033021,FBpp0085428,FBgn0033021,CG10417,0,,,ENSP00000342778.4,ENSMUSP00000144644.2,XP_006564172.1,ENSDARP00000102878.2,XP_004930452.1
LOC124188274,XP_046436753.1,HIV Tat-specific factor 1 homolog,1441,5979,9553,2325,2791,978,1217,1078,,g2198,Y65B4A.1.1,FBgn0037081,FBpp0078053,FBgn0037081,barc,barricade,,XP_021699226.1,ENSP00000442699.1,ENSMUSP00000086027.6,XP_391935.5,ENSDARP00000073630.4,XP_004924091.2
LOC124188275,XP_046436754.1,probable methyltransferase-like protein 25,253,725,1563,422,498,264,324,236,,g2197,,FBgn0053964,FBpp0099380,FBgn0053964,CG33964,0,,XP_021704702.1,ENSP00000248306.3,ENSMUSP00000038665.10,XP_016772014.1,ENSDARP00000067261.5,XP_012547668.1
LOC124188276,XP_046436756.1,clusterin-associated protein 1-like isoform X2,17,31,234,93,139,39,54,26,,g2203,C04C3.5b.1,,,,,,,XP_001648485.2,ENSP00000460706.1,,XP_391930.1,,XP_037872789.1
LOC124188277,XP_046436757.1,F-box only protein 31-like,142,410,989,445,654,229,201,180,,g2202,F10A3.3.1,FBgn0261836,,,Msp300,Muscle-specific protein 300 kDa,,,ENSP00000310841.4,ENSMUSP00000057573.6,,ENSDARP00000146201.1,XP_004927097.2
LOC124188278,XP_046436758.1,neuroguidin-like,825,1563,2741,612,745,335,590,702,,g2201,C48E7.3.1,FBgn0031736,FBpp0304812,FBgn0031736,CG11030,0,,XP_021701628.1,ENSP00000380340.3,ENSMUSP00000022815.9,NP_001265636.1,ENSDARP00000066720.5,XP_004930989.1
LOC124188279,XP_046436759.1,protein LTO1 homolog,62,208,655,173,239,108,102,82,,,T09A5.4.1,,FBpp0099493,FBgn0033693,CG13175,0,,XP_001650093.2,ENSP00000446129.1,ENSMUSP00000033388.6,XP_016772017.1,ENSDARP00000139419.1,
LOC124188281,XP_046436760.1,C-type lectin domain family 10 member A-like,0,0,214,707,873,197,92,84,,g2199,,FBgn0261258,FBpp0078002,FBgn0261258,rgn,regeneration,,XP_021699235.1,ENSP00000460252.1,ENSMUSP00000104226.3,XP_003250964.2,,XP_004924799.1
LOC124188283,XP_046436761.1,protein Daple-like,891,6962,13126,5086,7236,3012,3501,1564,,g2569,Y51A2D.15c.1,FBgn0283724,FBpp0304409,FBgn0283724,Girdin,Girdin,,XP_001653134.2,ENSP00000374507.6,ENSMUSP00000068629.4,XP_026297074.1,ENSDARP00000099266.2,XP_004932658.2
LOC124188284,XP_046436762.1,nuclear exosome regulator NRDE2-like isoform X1,910,2197,4602,1321,1434,773,638,787,,g2573,,FBgn0030625,FBpp0309378,FBgn0030625,CG5877,0,,XP_001660842.2,,ENSMUSP00000021596.8,XP_026302236.1,ENSDARP00000104069.3,
LOC124188285,XP_046436764.1,D-glucuronyl C5-epimerase B-like,541,2544,5889,2282,3039,1319,1037,504,,g2572,B0285.5.3,FBgn0033087,FBpp0085478,FBgn0033087,Hsepi,Heparan sulfate C5-epimerase,,XP_021696906.1,ENSP00000261858.2,ENSMUSP00000034785.8,XP_393602.4,ENSDARP00000148118.1,XP_012552772.1
LOC124188286,XP_046436766.1,uncharacterized protein LOC124188286 isoform X2,259,18,5,2,3,1,1,1,,g2575,T23B5.1b.1,FBgn0261803,,,CG42749,0,,,,,,,
LOC124188287,XP_046436769.1,tachykinin-like peptides receptor 86C,1,0,34,139,462,157,175,9,,g561,,FBgn0004841,,,TkR86C,Tachykinin-like receptor at 86C,,,,,,,
LOC124188288,XP_046436767.1,putative lipoyltransferase 2%2C mitochondrial,28,182,814,326,409,99,75,53,,g2574,ZC410.7.1,FBgn0037251,FBpp0312343,FBgn0037251,CG9804,0,,XP_001653907.2,ENSP00000309463.4,ENSMUSP00000032967.4,NP_001229370.1,ENSDARP00000155831.1,XP_004928544.1
LOC124188289,XP_046436768.1,transmembrane protein 218-like,1,10,78,42,64,32,21,6,,g2570,,FBgn0026391,,,Or33b,Odorant receptor 33b,,,,ENSMUSP00000034632.9,XP_026299469.1,ENSDARP00000119513.1,
LOC124188290,XP_046436770.1,CDGSH iron-sulfur domain-containing protein 3%2C mitochondrial-like,226,627,2158,1165,1762,294,253,320,,g2571,M88.7.1,FBgn0033100,FBpp0305158,FBgn0033100,CG3420,0,,XP_001648564.1,ENSP00000483781.1,ENSMUSP00000103211.3,XP_006565002.1,,XP_004928720.1
LOC124188292,XP_046436771.1,cytochrome c oxidase assembly protein COX18%2C mitochondrial-like,155,589,1537,638,935,343,352,267,,g2586,,FBgn0035960,FBpp0076251,FBgn0035960,CG4942,0,,XP_011493059.2,ENSP00000425261.3,ENSMUSP00000113353.2,XP_001120913.2,ENSDARP00000140728.1,XP_004932216.1
LOC124188293,XP_046436773.1,protein MEMO1-like isoform X1,667,3032,5636,1685,2483,573,597,498,,g2585,C37C3.8a.6,FBgn0038110,FBpp0082187,FBgn0038110,CG8031,0,,XP_001661638.1,ENSP00000385557.1,ENSMUSP00000156607.2,,ENSDARP00000009876.7,XP_004922245.1
LOC124188294,XP_046436783.1,uncharacterized protein LOC124188294 isoform X3,10,99,905,538,751,300,245,131,,,,,,,,,,,,,,,
LOC124188295,XP_046436787.1,uncharacterized protein LOC124188295,1,29,155,102,57,2,1,3,,,,,,,,,,,,,,,
LOC124188296,XP_046436784.1,E2F-associated phosphoprotein-like,318,1071,2207,613,584,294,261,260,,g2584,F48E8.2.1,FBgn0005649,,,Rox8,Rox8,,,ENSP00000250454.3,ENSMUSP00000130251.2,XP_006561942.2,ENSDARP00000018505.4,
LOC124188297,XP_046436785.1,calmodulin,4011,17249,38603,24480,50220,14098,13964,5749,,g2583,T21H3.3a.1,FBgn0000253,FBpp0087109,FBgn0000253,Cam,Calmodulin,,XP_001662431.1,ENSP00000272298.7,ENSMUSP00000019514.10,XP_006565317.1,ENSDARP00000018820.7,NP_001040234.1
LOC124188298,XP_046436786.1,guanylate cyclase 32E-like isoform X1,55,2569,3834,2817,6064,1699,1895,715,,g2350,,FBgn0010197,FBpp0111769,FBgn0010197,Gyc32E,Guanylyl cyclase at 32E,,,,,,,
LOC124188299,XP_046436791.1,eukaryotic elongation factor 2 kinase-like isoform X2,719,2254,5563,2006,2924,1674,1421,1483,,g2348,,,,,,,,,,ENSMUSP00000102097.2,,,
LOC124188300,XP_046436793.1,uncharacterized protein LOC124188300 isoform X2,14,591,437,1101,1961,320,453,153,,g2347,,FBgn0035750,,,CG14826,0,,,,,,,
LOC124188301,XP_046436800.1,uncharacterized protein LOC124188301,0,0,2,10,78,1176,1119,874,,g1041,,FBgn0027603,,,Ulp1,Ulp1,,,,,,,
LOC124188302,XP_046436797.1,ras-related protein Rab-37-like isoform X1,2,23,335,281,1049,397,404,189,,g2349,W01H2.3b.1,FBgn0086913,FBpp0111590,FBgn0086913,Rab26,Rab26,,,ENSP00000432086.1,ENSMUSP00000021076.6,XP_016766715.1,ENSDARP00000140736.1,XP_037869345.1
LOC124188303,XP_046436799.1,ras-related protein Rab-26-like,1,0,19,80,332,150,109,14,,,,,,,,,,,,,,,
LOC124188304,XP_046436803.1,uncharacterized protein LOC124188304 isoform X3,3852,6040,10743,3862,8583,2798,2712,4188,,g2041,,FBgn0035842,,,CG7504,0,,,,,,,
LOC124188305,XP_046436807.1,E3 ubiquitin-protein ligase RBBP6-like,4335,16710,24151,7005,10919,4409,5267,4178,,g2010,,FBgn0086129,,,snama,something that sticks like glue,,,,,,,
LOC124188307,XP_046436813.1,uncharacterized protein LOC124188307,2,288,153,69,310,70,50,20,,g62,,,,,,,,,,,,,
LOC124188308,XP_046436810.1,lysine-specific demethylase RSBN1L-like,2599,10378,19525,6104,8494,3703,3526,2259,,g2034,Y59A8B.1a.1,FBgn0032717,FBpp0303621,FBgn0032717,CG10600,0,,XP_001650272.2,ENSP00000393888.1,ENSMUSP00000039482.6,XP_006572195.2,ENSDARP00000131486.1,XP_021201795.1
LOC124188309,XP_046436811.1,cold shock domain-containing protein E1-like,5039,15931,24317,8668,12538,4724,5879,4885,,g2018,,FBgn0263352,,,Unr,Upstream of N-ras,,,,,,,
LOC124188310,XP_046436849.1,uncharacterized protein LOC124188310,0,1,12,33,61,18,13,3,,,,,,,,,,,,,,,
